,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",8313828,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2,China,"Anuel AA",5025519,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
3,"boyfriend (with Social House)","Ariana Grande",4907855,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
4,"Beautiful People (feat. Khalid)","Ed Sheeran",4128531,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
5,"I Don't Care (with Justin Bieber)","Ed Sheeran",4054118,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
6,"Goodbyes (Feat. Young Thug)","Post Malone",3953889,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
7,"Old Town Road - Remix","Lil Nas X",3505265,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
8,Ransom,"Lil Tecca",3458991,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
9,"bad guy","Billie Eilish",3318505,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
10,Callaita,"Bad Bunny",3206332,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
11,"How Do You Sleep?","Sam Smith",3199134,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
12,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",3128737,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
13,"Otro Trago - Remix",Sech,2859970,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
14,"Someone You Loved","Lewis Capaldi",2714865,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
15,"Money In The Grave (Drake ft. Rick Ross)",Drake,2640524,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
16,"Truth Hurts",Lizzo,2385344,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
17,"LA CANCIÓN","J Balvin",2382637,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
18,"No Guidance (feat. Drake)","Chris Brown",2358850,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
19,"Piece Of Your Heart",MEDUZA,2344543,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
20,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2316036,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
21,Lalala,Y2K,2310786,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
22,"bad guy (with Justin Bieber)","Billie Eilish",2309368,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
