,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",4410119,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,abcdefu,GAYLE,4083793,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
3,"STAY (with Justin Bieber)","The Kid LAROI",3947164,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",3762302,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
5,"Cold Heart - PNAU Remix","Elton John",3480186,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
6,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",3406998,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
7,"Easy On Me",Adele,3325527,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
8,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",3124916,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
9,Shivers,"Ed Sheeran",2657994,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
10,Desesperados,"Rauw Alejandro",2588327,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
11,Infinity,"Jaymes Young",2485227,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
12,"pushin P (feat. Young Thug)",Gunna,2374148,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
13,Woman,"Doja Cat",2366061,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
14,"Do It To It",ACRAZE,2337790,https://open.spotify.com/track/20on25jryn53hWghthWWW3
15,Pepas,Farruko,2303025,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
16,"Bad Habits","Ed Sheeran",2203839,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
17,"THATS WHAT I WANT","Lil Nas X",2142945,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
18,"My Universe",Coldplay,2127799,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
19,Ghost,"Justin Bieber",2105546,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
20,"I Love You So","The Walters",2067290,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
21,"good 4 u","Olivia Rodrigo",2024288,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
22,"Light Switch","Charlie Puth",1979441,https://open.spotify.com/track/1BSMpVGWs3v5BZKnAQziAc
23,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,1937168,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
24,Yonaguni,"Bad Bunny",1912260,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
25,"Where Are You Now","Lost Frequencies",1906112,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
26,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",1880087,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
27,Sacrifice,"The Weeknd",1869492,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
28,"Kiss Me More (feat. SZA)","Doja Cat",1852389,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
29,"Need to Know","Doja Cat",1818980,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
30,"Fingers Crossed","Lauren Spencer-Smith",1771165,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU
31,"The Motto",Tiësto,1751343,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
32,Toxic,BoyWithUke,1740029,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
33,"Blinding Lights","The Weeknd",1725097,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
34,"Sweater Weather","The Neighbourhood",1707340,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
35,Softcore,"The Neighbourhood",1647249,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
36,"Mon Amour - Remix",zzoilo,1610496,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
37,"MONTERO (Call Me By Your Name)","Lil Nas X",1607109,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
38,"Ginseng Strip 2002","Yung Lean",1597521,https://open.spotify.com/track/79nEEoEPY2w8EXj9hjn5oc
39,"Oh My God",Adele,1590590,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
40,Beggin',Måneskin,1560744,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
41,traitor,"Olivia Rodrigo",1554499,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
42,"love nwantiti (ah ah ah)",CKay,1551375,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
43,"Happier Than Ever","Billie Eilish",1506348,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
44,"Super Gremlin","Kodak Black",1482913,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
45,"Levitating (feat. DaBaby)","Dua Lipa",1476218,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
46,"Tacones Rojos","Sebastian Yatra",1456879,https://open.spotify.com/track/6ylDpki1VpIsc525KC1ojF
47,"drivers license","Olivia Rodrigo",1448919,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
48,"Malvadão 3",Xamã,1416406,https://open.spotify.com/track/0NBgyml7T0IvUNbXIkcSpH
49,Medallo,Blessd,1415488,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
50,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",1405739,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
