,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",4182537,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,abcdefu,GAYLE,3974039,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
3,"STAY (with Justin Bieber)","The Kid LAROI",3864481,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",3524148,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
5,"Cold Heart - PNAU Remix","Elton John",3337646,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
6,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",3299305,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
7,"Easy On Me",Adele,3152501,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
8,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",2994960,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
9,Shivers,"Ed Sheeran",2488086,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
10,Desesperados,"Rauw Alejandro",2452642,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
11,Pepas,Farruko,2349843,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
12,Infinity,"Jaymes Young",2323452,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
13,Woman,"Doja Cat",2215879,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
14,"Do It To It",ACRAZE,2207185,https://open.spotify.com/track/20on25jryn53hWghthWWW3
15,"pushin P (feat. Young Thug)",Gunna,2154995,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
16,"Bad Habits","Ed Sheeran",2099551,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
17,"My Universe",Coldplay,1988618,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
18,"I Love You So","The Walters",1955316,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
19,Ghost,"Justin Bieber",1930390,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
20,Yonaguni,"Bad Bunny",1921931,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
21,"good 4 u","Olivia Rodrigo",1920092,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
22,"THATS WHAT I WANT","Lil Nas X",1881093,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
23,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",1845680,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
24,"Light Switch","Charlie Puth",1823953,https://open.spotify.com/track/1BSMpVGWs3v5BZKnAQziAc
25,Sacrifice,"The Weeknd",1767723,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
26,"Where Are You Now","Lost Frequencies",1743655,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
27,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,1739050,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
28,"Kiss Me More (feat. SZA)","Doja Cat",1729572,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
29,Toxic,BoyWithUke,1721761,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
30,"Need to Know","Doja Cat",1703775,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
31,"Blinding Lights","The Weeknd",1621380,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
32,"Sweater Weather","The Neighbourhood",1612567,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
33,"Fingers Crossed","Lauren Spencer-Smith",1589675,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU
34,"The Motto",Tiësto,1573251,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
35,"Mon Amour - Remix",zzoilo,1522895,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
36,"MONTERO (Call Me By Your Name)","Lil Nas X",1514316,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
37,"love nwantiti (ah ah ah)",CKay,1505672,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
38,Beggin',Måneskin,1475005,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
39,Softcore,"The Neighbourhood",1464382,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
40,"Oh My God",Adele,1446086,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
41,traitor,"Olivia Rodrigo",1432981,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
42,"Happier Than Ever","Billie Eilish",1409180,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
43,"Malvadão 3",Xamã,1390233,https://open.spotify.com/track/0NBgyml7T0IvUNbXIkcSpH
44,"Tacones Rojos","Sebastian Yatra",1374263,https://open.spotify.com/track/6ylDpki1VpIsc525KC1ojF
45,"Levitating (feat. DaBaby)","Dua Lipa",1374195,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
46,Volví,Aventura,1372860,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
47,"Super Gremlin","Kodak Black",1366869,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
48,"drivers license","Olivia Rodrigo",1354923,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
49,DÁKITI,"Bad Bunny",1354904,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
50,Medallo,Blessd,1351581,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
51,"Ginseng Strip 2002","Yung Lean",1344202,https://open.spotify.com/track/79nEEoEPY2w8EXj9hjn5oc
52,Excuses,"AP Dhillon",1322348,https://open.spotify.com/track/29m79w9xPMH4YCD6r8JSmV
53,Dandelions,"Ruth B.",1281518,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
54,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",1269124,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
55,"TO THE MOON","Jnr Choi",1238462,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx
56,MONEY,LISA,1237375,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
