Position,Fecha,Track_Name,Artist,Sexo,Streams,URL
1,20/01/2022,abcdefu,GAYLE,1,4434356,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
2,20/01/2022,Heat Waves,Glass Animals,1,4216833,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
3,20/01/2022,STAY (with Justin Bieber),The Kid LAROI,1,4106867,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,20/01/2022,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,1,3790425,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
5,20/01/2022,Easy On Me,Adele,2,3661291,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
6,20/01/2022,Cold Heart - PNAU Remix,Elton John,1,3556929,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
7,20/01/2022,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,1,3453185,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
8,20/01/2022,We Don't Talk About Bruno,Carolina Gaitán - La Gaita,2,2834662,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
9,19/01/2022,Sacrifice,The Weeknd,1,2797381,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
10,20/01/2022,Shivers,Ed Sheeran,1,2738182,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
11,20/01/2022,Do It To It,ACRAZE,1,2562152,https://open.spotify.com/track/20on25jryn53hWghthWWW3
12,20/01/2022,Infinity,Jaymes Young,1,2430427,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
13,20/01/2022,Pepas,Farruko,1,2429959,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
14,20/01/2022,Bad Habits,Ed Sheeran,1,2266036,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
15,20/01/2022,My Universe,Coldplay,1,2257742,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
16,20/01/2022,Woman,Doja Cat,2,2251065,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
17,20/01/2022,good 4 u,Olivia Rodrigo,2,2094589,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
18,20/01/2022,pushin P (feat. Young Thug),Gunna,2,2072426,https://open.spotify.com/track/3LnpBazWpD31QMTn6LgVGv
19,20/01/2022,Fingers Crossed,Lauren Spencer-Smith,1,2066619,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU
20,20/01/2022,Ghost,Justin Bieber,1,2037967,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
21,20/01/2022,Desesperados,Rauw Alejandro,1,1917809,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
22,20/01/2022,Kiss Me More (feat. SZA),Doja Cat,2,1890512,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
23,20/01/2022,Where Are You Now,Lost Frequencies,1,1876915,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
24,20/01/2022,Need to Know,Doja Cat,2,1811025,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
25,20/01/2022,Surface Pressure,Jessica Darrow,2,1799990,https://open.spotify.com/track/760jhRscwGbIIe1m1IIQpU
26,20/01/2022,I Love You So,The Walters,1,1798875,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
27,19/01/2022,Blinding Lights,The Weeknd,1,1782490,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
28,20/01/2022,Yonaguni,Bad Bunny,1,1749911,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
29,20/01/2022,The Motto,Tiësto,1,1727134,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
30,20/01/2022,MONTERO (Call Me By Your Name),Lil Nas X,1,1720609,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
31,20/01/2022,Sweater Weather,The Neighbourhood,1,1720102,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
32,20/01/2022,Softcore,The Neighbourhood,1,1704140,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
33,20/01/2022,Toxic,BoyWithUke,1,1685781,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
34,20/01/2022,love nwantiti (ah ah ah),CKay,1,1682871,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
35,20/01/2022,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,1,1653600,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
36,20/01/2022,Lost,Frank Ocean,1,1646211,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
37,20/01/2022,Mon Amour - Remix,zzoilo,1,1628142,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
38,20/01/2022,Oh My God,Adele,2,1624095,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
39,20/01/2022,Eazy,The Game,1,1614065,https://open.spotify.com/track/6Ab81Bs9fcOwaTYuBsUUpI
40,20/01/2022,Beggin',Måneskin,1,1605432,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
41,20/01/2022,THATS WHAT I WANT,Lil Nas X,1,1605360,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
42,20/01/2022,Happier Than Ever,Billie Eilish,2,1571562,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
43,19/01/2022,Moth To A Flame (with The Weeknd),Swedish House Mafia,1,1557411,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
44,20/01/2022,traitor,Olivia Rodrigo,2,1536435,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
45,19/01/2022,Out of Time,The Weeknd,1,1528784,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
46,20/01/2022,Levitating (feat. DaBaby),Dua Lipa,2,1525911,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
47,20/01/2022,Malvadão 3,Xamã,2,1510226,https://open.spotify.com/track/0NBgyml7T0IvUNbXIkcSpH
48,19/01/2022,One Right Now (with The Weeknd),Post Malone,1,1507168,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
49,20/01/2022,MONEY,LISA,2,1506107,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
50,20/01/2022,Super Gremlin,Kodak Black,1,1479576,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
51,20/01/2022,drivers license,Olivia Rodrigo,2,1450841,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
52,19/01/2022,Is There Someone Else?,The Weeknd,1,1430611,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
53,20/01/2022,TO THE MOON,Jnr Choi,1,1396983,https://open.spotify.com/track/0hYFc3HSZHDaDzquLVRwBH
54,20/01/2022,It'll Be Okay,Shawn Mendes,1,1387014,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
55,20/01/2022,Medallo,Blessd,1,1344080,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
56,19/01/2022,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,1,1341886,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
57,20/01/2022,Dynamite,BTS,1,1339947,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
58,20/01/2022,Dandelions,Ruth B.,1,1327848,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
59,20/01/2022,Entre Nosotros (Remix) [con Nicki Nicole],Tiago PZK,1,1315167,https://open.spotify.com/track/4TGwERXRlyQtBdggYTHo6j
60,20/01/2022,Volvi,Aventura,1,1278311,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
61,20/01/2022,Tacones Rojos,Sebastian Yatra,1,1261204,https://open.spotify.com/track/0Be7sopyKMv8Y8npsUkax2
62,20/01/2022,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2,1251645,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
63,20/01/2022,Watermelon Sugar,Harry Styles,1,1247125,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
64,20/01/2022,Todo De Ti,Rauw Alejandro,1,1242207,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
65,20/01/2022,I AM WOMAN,Emmy Meli,2,1225538,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
66,20/01/2022,I Hate U,SZA,2,1222957,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
67,19/01/2022,Save Your Tears,The Weeknd,1,1217311,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
68,20/01/2022,Dark Red,Steve Lacy,1,1213519,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
69,20/01/2022,"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,1,1203267,https://open.spotify.com/track/2Gq636OOGgxCTqEuzCZhsa
70,20/01/2022,Butter,BTS,1,1187994,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
71,20/01/2022,DÁKITI,Bad Bunny,1,1187001,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
72,20/01/2022,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay,1,1175345,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
73,20/01/2022,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,1,1172439,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
74,20/01/2022,Meet Me At Our Spot,THE ANXIETY,1,1163347,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
75,20/01/2022,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1,1149567,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
76,20/01/2022,Nostálgico,Rvssian,1,1144565,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
77,20/01/2022,Smokin Out The Window,Bruno Mars,1,1122290,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
78,20/01/2022,deja vu,Olivia Rodrigo,2,1114872,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
79,20/01/2022,Someone You Loved,Lewis Capaldi,1,1110895,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
