Position,Track_Name,Artist,Streams,URL
1,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,522713,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
2,Yonaguni,Bad Bunny,491383,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
3,Mon Amour - Remix,zzoilo,486839,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
4,A La Antiguita,Calibre 50,454511,https://open.spotify.com/track/798ahLNEcoFER7Vywg1FMT
5,Si Te Pudiera Mentir,Calibre 50,444366,https://open.spotify.com/track/3p6eieHX6oEOzJStPtEsLu
6,Debo Entender,Santa Fe Klan,425058,https://open.spotify.com/track/55mzJ0LftLnef8sxAjrMkU
7,Tacones Rojos,Sebastian Yatra,377123,https://open.spotify.com/track/0Be7sopyKMv8Y8npsUkax2
8,Como Lo Hice Yo,Matisse,376989,https://open.spotify.com/track/64JzNzcoSZOh3RWeoghVfk
9,Desesperados,Rauw Alejandro,373323,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
10,Ya Acabo,Marca MP,372764,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
11,Todo De Ti,Rauw Alejandro,364404,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
12,Volví,Aventura,352415,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
13,Ya Superame (En Vivo),Grupo Firme,340432,https://open.spotify.com/track/6HIIuuUIEzH1meVdGbMXyf
14,Soy El Raton,Ldln,338963,https://open.spotify.com/track/6VUtRAE5fkJQfWqFhEWy1H
15,DÁKITI,Bad Bunny,315792,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
16,Cold Heart - PNAU Remix,Elton John,308977,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
17,Te Ire A Buscar,Santa Fe Klan,303669,https://open.spotify.com/track/3elpkpwYlmUbuvmVps08lJ
18,Cada Quien,Grupo Firme,289856,https://open.spotify.com/track/5BE9B2FiFWBbBdoIQ1m1UP
19,Medallo,Blessd,289566,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
