,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",1301990,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
2,"pushin P (feat. Young Thug)",Gunna,1178584,https://open.spotify.com/track/3LnpBazWpD31QMTn6LgVGv
3,"Super Gremlin","Kodak Black",1010310,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
4,"Surface Pressure","Jessica Darrow",909049,https://open.spotify.com/track/760jhRscwGbIIe1m1IIQpU
5,"Heat Waves","Glass Animals",894598,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
6,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",782842,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
7,"STAY (with Justin Bieber)","The Kid LAROI",752679,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
8,Eazy,"The Game",734146,https://open.spotify.com/track/6Ab81Bs9fcOwaTYuBsUUpI
9,abcdefu,GAYLE,709646,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
10,Lost,"Frank Ocean",657541,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
11,"Fingers Crossed","Lauren Spencer-Smith",635118,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU
12,"Easy On Me",Adele,628820,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
13,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",626162,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
14,Sacrifice,"The Weeknd",623757,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
15,"Need to Know","Doja Cat",598275,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
16,"P power (feat. Drake)",Gunna,597382,https://open.spotify.com/track/0lEjxUUlKqjqXrVlIHFduD
17,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,584424,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
18,"The Family Madrigal","Stephanie Beatriz",556009,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
19,"I Love You So","The Walters",552763,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
20,"Dark Red","Steve Lacy",552452,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
21,"good 4 u","Olivia Rodrigo",538390,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
22,"Cold Heart - PNAU Remix","Elton John",538156,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
23,"What Else Can I Do?","Diane Guerrero",534168,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
24,"I Hate U",SZA,523015,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
25,"Kiss Me More (feat. SZA)","Doja Cat",519198,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
26,"family ties (with Kendrick Lamar)","Baby Keem",507239,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
27,"Out of Time","The Weeknd",501837,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
28,"Broadway Girls (feat. Morgan Wallen)","Lil Durk",500152,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd
29,Woman,"Doja Cat",482521,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
30,"Sweater Weather","The Neighbourhood",480507,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
31,Shivers,"Ed Sheeran",476530,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
32,"Is There Someone Else?","The Weeknd",474276,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
33,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,461887,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
34,"Meet Me At Our Spot","THE ANXIETY",438338,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
35,Sky,"Playboi Carti",431158,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
36,"Waiting On A Miracle","Stephanie Beatriz",421523,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
37,"By Your Side","Rod Wave",418290,https://open.spotify.com/track/2AaJeBEq3WLcfFW1y8svDf
38,"Smokin Out The Window","Bruno Mars",417672,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
39,"One Right Now (with The Weeknd)","Post Malone",413238,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
40,"Dos Oruguitas","Sebastian Yatra",410939,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
41,Ghost,"Justin Bieber",407357,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
42,Softcore,"The Neighbourhood",407244,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
43,"thought i was playing",Gunna,399255,https://open.spotify.com/track/3XLbDUB5BX2WqL2qoAsvtb
44,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",398971,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
45,"Happier Than Ever","Billie Eilish",396826,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
46,"Way 2 Sexy (with Future & Young Thug)",Drake,387396,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
47,RAPSTAR,"Polo G",379936,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
48,"No Role Modelz","J. Cole",379749,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
49,traitor,"Olivia Rodrigo",376220,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
50,Gasoline,"The Weeknd",369161,https://open.spotify.com/track/3KyKxJ4P3pVCgaZwaq2rUC
51,"Oh My God",Adele,366118,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
52,"Bad Habits","Ed Sheeran",363237,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
53,"Levitating (feat. DaBaby)","Dua Lipa",357221,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
54,"You Right","Doja Cat",355804,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
55,"MONTERO (Call Me By Your Name)","Lil Nas X",355395,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
56,Freaks,"Surf Curse",351509,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
57,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Nardo Wick",348270,https://open.spotify.com/track/7ACW7VpgoKmfM1sKo15UhX
58,"20 Min","Lil Uzi Vert",345611,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
59,"Space Song","Beach House",345059,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
60,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",344348,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
61,Infinity,"Jaymes Young",344120,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
62,505,"Arctic Monkeys",344039,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
63,YKWIM?,"Yot Club",343948,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
64,2055,"Sleepy Hallow",343383,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
65,"Less Than Zero","The Weeknd",341167,https://open.spotify.com/track/2D4dV2KXDTszzJ3p3cFqhA
66,"Wants and Needs (feat. Lil Baby)",Drake,338311,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
67,Pepas,Farruko,337229,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
68,"Cold December","Rod Wave",333142,https://open.spotify.com/track/6UAy9xYeTWjZB7h05p83e9
69,"Surround Sound (feat. 21 Savage & Baby Tate)",JID,329468,https://open.spotify.com/track/0cp97b37sFNsdIbQH6po3T
70,"Blinding Lights","The Weeknd",327143,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
71,"THATS WHAT I WANT","Lil Nas X",325471,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
72,"The Spins","Mac Miller",325185,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
73,"I AM WOMAN","Emmy Meli",321149,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
74,"Good Days",SZA,318848,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
75,"Alien Blues",Vundabar,318559,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
76,"Daddy Issues","The Neighbourhood",318449,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
77,"drivers license","Olivia Rodrigo",318197,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
78,"Hrs and Hrs","Muni Long",316628,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
79,"How Do I Make You Love Me?","The Weeknd",314451,https://open.spotify.com/track/2Ghp894n1laIf2w98VeAOJ
80,"deja vu","Olivia Rodrigo",314250,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
81,"Get Into It (Yuh)","Doja Cat",313949,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
82,"Mr. Rager","Kid Cudi",313220,https://open.spotify.com/track/2ncLdwTd8qzkxiJjlbiOgC
83,"Lucid Dreams","Juice WRLD",310897,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
84,"Do It To It",ACRAZE,305731,https://open.spotify.com/track/20on25jryn53hWghthWWW3
85,"See You Again (feat. Kali Uchis)","Tyler, The Creator",305166,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
86,"Pursuit Of Happiness (Nightmare)","Kid Cudi",304692,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
87,"All Girls Are The Same","Juice WRLD",304288,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
88,"All Of You","Stephanie Beatriz",304275,https://open.spotify.com/track/4X25mFLehFnxa1TwtLKcE2
89,"Jugaste y Sufrí","Eslabon Armado",303671,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
90,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",299435,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
91,"love nwantiti (ah ah ah)",CKay,299124,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
92,Toxic,BoyWithUke,297921,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
93,"Martin & Gina","Polo G",294665,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
94,"Take My Breath","The Weeknd",291869,https://open.spotify.com/track/2vgUijXOTRMnWXDtvgMp2b
95,"thought it was","iann dior",291264,https://open.spotify.com/track/3x1h0lsx1i2v9cUWnZssBa
96,"Die For You","The Weeknd",290649,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
97,"Here We Go… Again (feat. Tyler, the Creator)","The Weeknd",288677,https://open.spotify.com/track/1NhjYYcYTRywc0di98xHxf
98,"Tell Em",Cochise,288202,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
99,"NEW MAGIC WAND","Tyler, The Creator",287746,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
100,"Money Trees","Kendrick Lamar",283919,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
101,"SLOW DANCING IN THE DARK",Joji,283799,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
102,"Bad Man (Smooth Criminal)","Polo G",282293,https://open.spotify.com/track/62l3NSQPUxvcwwzKUmysrE
103,"Already Dead","Juice WRLD",281716,https://open.spotify.com/track/2quVkyLSVr5wX2QIhnexUt
104,"Fair Trade (with Travis Scott)",Drake,281526,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
105,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",280170,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
106,"Praise God","Kanye West",279250,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
107,"Man in the Mirror","A Boogie Wit da Hoodie",279008,https://open.spotify.com/track/7uLFOXgLrS90tEYPO1DGXy
